key,date,value
johnnypresidente,1390176000000,0
johnnypresidente,1390176300000,0
johnnypresidente,1390176600000,0
johnnypresidente,1390176900000,0
johnnypresidente,1390177200000,0
johnnypresidente,1390177500000,2
johnnypresidente,1390177800000,1
johnnypresidente,1390178100000,3
johnnypresidente,1390178400000,31
johnnypresidente,1390178700000,42
johnnypresidente,1390179000000,40
johnnypresidente,1390179300000,51
johnnypresidente,1390179600000,117
johnnypresidente,1390179900000,147
johnnypresidente,1390180200000,172
johnnypresidente,1390180500000,229
johnnypresidente,1390180800000,208
johnnypresidente,1390181100000,174
johnnypresidente,1390181400000,171
johnnypresidente,1390181700000,164
johnnypresidente,1390182000000,107
johnnypresidente,1390182300000,106
johnnypresidente,1390182600000,153
johnnypresidente,1390182900000,230
johnnypresidente,1390183200000,184
johnnypresidente,1390183500000,170
johnnypresidente,1390183800000,103
johnnypresidente,1390184100000,110
johnnypresidente,1390184400000,166
johnnypresidente,1390184700000,145
johnnypresidente,1390185000000,152
johnnypresidente,1390185300000,31
johnnypresidente,1390185600000,49
johnnypresidente,1390185900000,84
johnnypresidente,1390186200000,98
johnnypresidente,1390186500000,115
johnnypresidente,1390186800000,92
johnnypresidente,1390187100000,135
johnnypresidente,1390187400000,93
johnnypresidente,1390187700000,56
johnnypresidente,1390188000000,63
johnnypresidente,1390188300000,124
johnnypresidente,1390188600000,212
johnnypresidente,1390188900000,60
johnnypresidente,1390189200000,22
johnnypresidente,1390189500000,31
johnnypresidente,1390189800000,17
johnnypresidente,1390190100000,7
johnnypresidente,1390190400000,4
johnnypresidente,1390190700000,3
johnnypresidente,1390191000000,2
johnnypresidente,1390191300000,1
johnnypresidente,1390191600000,1
johnnypresidente,1390191900000,12
johnnypresidente,1390192200000,1
johnnypresidente,1390192500000,3
johnnypresidente,1390192800000,3
johnnypresidente,1390193100000,4
johnnypresidente,1390193400000,6
johnnypresidente,1390193700000,7
johnnypresidente,1390194000000,0
johnnypresidente,1390194300000,0
johnnypresidente,1390194600000,0
