key,date,value
solis,1390176000000,0
solis,1390176300000,0
solis,1390176600000,0
solis,1390176900000,0
solis,1390177200000,5
solis,1390177500000,10
solis,1390177800000,6
solis,1390178100000,9
solis,1390178400000,25
solis,1390178700000,15
solis,1390179000000,17
solis,1390179300000,41
solis,1390179600000,87
solis,1390179900000,236
solis,1390180200000,188
solis,1390180500000,387
solis,1390180800000,184
solis,1390181100000,193
solis,1390181400000,227
solis,1390181700000,277
solis,1390182000000,146
solis,1390182300000,432
solis,1390182600000,233
solis,1390182900000,172
solis,1390183200000,442
solis,1390183500000,271
solis,1390183800000,273
solis,1390184100000,266
solis,1390184400000,288
solis,1390184700000,476
solis,1390185000000,424
solis,1390185300000,571
solis,1390185600000,288
solis,1390185900000,240
solis,1390186200000,221
solis,1390186500000,271
solis,1390186800000,529
solis,1390187100000,562
solis,1390187400000,280
solis,1390187700000,499
solis,1390188000000,415
solis,1390188300000,479
solis,1390188600000,459
solis,1390188900000,281
solis,1390189200000,178
solis,1390189500000,115
solis,1390189800000,86
solis,1390190100000,76
solis,1390190400000,62
solis,1390190700000,45
solis,1390191000000,48
solis,1390191300000,38
solis,1390191600000,40
solis,1390191900000,24
solis,1390192200000,26
solis,1390192500000,24
solis,1390192800000,21
solis,1390193100000,24
solis,1390193400000,29
solis,1390193700000,14
solis,1390194000000,13
solis,1390194300000,13
solis,1390194600000,12
solis,1390194900000,12
solis,1390195200000,10
solis,1390195500000,14
solis,1390195800000,8
solis,1390196100000,6
solis,1390196400000,9
solis,1390196700000,2
solis,1390197000000,5
solis,1390197300000,9
araya,1390176000000,0
araya,1390176300000,0
araya,1390176600000,0
araya,1390176900000,0
araya,1390177200000,3
araya,1390177500000,8
araya,1390177800000,13
araya,1390178100000,17
araya,1390178400000,97
araya,1390178700000,76
araya,1390179000000,78
araya,1390179300000,93
araya,1390179600000,208
araya,1390179900000,318
araya,1390180200000,353
araya,1390180500000,444
araya,1390180800000,456
araya,1390181100000,383
araya,1390181400000,372
araya,1390181700000,408
araya,1390182000000,244
araya,1390182300000,353
araya,1390182600000,303
araya,1390182900000,471
araya,1390183200000,316
araya,1390183500000,376
araya,1390183800000,311
araya,1390184100000,272
araya,1390184400000,340
araya,1390184700000,318
araya,1390185000000,278
araya,1390185300000,120
araya,1390185600000,123
araya,1390185900000,192
araya,1390186200000,274
araya,1390186500000,241
araya,1390186800000,218
araya,1390187100000,388
araya,1390187400000,248
araya,1390187700000,192
araya,1390188000000,182
araya,1390188300000,266
araya,1390188600000,408
araya,1390188900000,132
araya,1390189200000,67
araya,1390189500000,77
araya,1390189800000,54
araya,1390190100000,28
araya,1390190400000,25
araya,1390190700000,13
araya,1390191000000,9
araya,1390191300000,6
araya,1390191600000,14
araya,1390191900000,28
araya,1390192200000,9
araya,1390192500000,12
araya,1390192800000,12
araya,1390193100000,15
araya,1390193400000,18
araya,1390193700000,21
araya,1390194000000,11
araya,1390194300000,4
araya,1390194600000,2
araya,1390194900000,4
araya,1390195200000,7
araya,1390195500000,6
araya,1390195800000,1
araya,1390196100000,9
araya,1390196400000,5
araya,1390196700000,3
araya,1390197000000,5
araya,1390197300000,2
villalta,1390176000000,0
villalta,1390176300000,0
villalta,1390176600000,0
villalta,1390176900000,0
villalta,1390177200000,5
villalta,1390177500000,10
villalta,1390177800000,3
villalta,1390178100000,4
villalta,1390178400000,2
villalta,1390178700000,5
villalta,1390179000000,11
villalta,1390179300000,21
villalta,1390179600000,31
villalta,1390179900000,19
villalta,1390180200000,95
villalta,1390180500000,44
villalta,1390180800000,102
villalta,1390181100000,129
villalta,1390181400000,162
villalta,1390181700000,173
villalta,1390182000000,262
villalta,1390182300000,153
villalta,1390182600000,108
villalta,1390182900000,92
villalta,1390183200000,118
villalta,1390183500000,125
villalta,1390183800000,146
villalta,1390184100000,176
villalta,1390184400000,188
villalta,1390184700000,136
villalta,1390185000000,118
villalta,1390185300000,123
villalta,1390185600000,82
