key,date,value
mivotoespac,1390176000000,0
mivotoespac,1390176300000,0
mivotoespac,1390176600000,0
mivotoespac,1390176900000,0
mivotoespac,1390177200000,0
mivotoespac,1390177500000,0
mivotoespac,1390177800000,0
mivotoespac,1390178100000,1
mivotoespac,1390178400000,8
mivotoespac,1390178700000,5
mivotoespac,1390179000000,4
mivotoespac,1390179300000,8
mivotoespac,1390179600000,19
mivotoespac,1390179900000,26
mivotoespac,1390180200000,21
mivotoespac,1390180500000,25
mivotoespac,1390180800000,22
mivotoespac,1390181100000,15
mivotoespac,1390181400000,31
mivotoespac,1390181700000,42
mivotoespac,1390182000000,26
mivotoespac,1390182300000,45
mivotoespac,1390182600000,27
mivotoespac,1390182900000,33
mivotoespac,1390183200000,46
mivotoespac,1390183500000,33
mivotoespac,1390183800000,30
mivotoespac,1390184100000,24
mivotoespac,1390184400000,37
mivotoespac,1390184700000,50
mivotoespac,1390185000000,33
mivotoespac,1390185300000,37
mivotoespac,1390185600000,32
mivotoespac,1390185900000,25
mivotoespac,1390186200000,27
mivotoespac,1390186500000,22
mivotoespac,1390186800000,45
mivotoespac,1390187100000,46
mivotoespac,1390187400000,24
mivotoespac,1390187700000,53
mivotoespac,1390188000000,74
mivotoespac,1390188300000,92
mivotoespac,1390188600000,112
mivotoespac,1390188900000,68
mivotoespac,1390189200000,35
mivotoespac,1390189500000,25
mivotoespac,1390189800000,22
mivotoespac,1390190100000,21
mivotoespac,1390190400000,18
mivotoespac,1390190700000,12
mivotoespac,1390191000000,18
mivotoespac,1390191300000,10
mivotoespac,1390191600000,11
mivotoespac,1390191900000,5
mivotoespac,1390192200000,3
mivotoespac,1390192500000,4
mivotoespac,1390192800000,9
mivotoespac,1390193100000,4
mivotoespac,1390193400000,9
mivotoespac,1390193700000,3
mivotoespac,1390194000000,4
mivotoespac,1390194300000,2
mivotoespac,1390194600000,1
mivotoespac,1390194900000,3
mivotoespac,1390195200000,4
mivotoespac,1390195500000,3
mivotoespac,1390195800000,0
mivotoespac,1390196100000,2
mivotoespac,1390196400000,6
