key,date,value
villalta,1390176000000,0
villalta,1390176300000,0
villalta,1390176600000,0
villalta,1390176900000,0
villalta,1390177200000,0
villalta,1390177500000,2
villalta,1390177800000,0
villalta,1390178100000,0
villalta,1390178400000,0
villalta,1390178700000,2
villalta,1390179000000,0
villalta,1390179300000,0
villalta,1390179600000,4
villalta,1390179900000,0
villalta,1390180200000,7
villalta,1390180500000,1
villalta,1390180800000,21
villalta,1390181100000,20
villalta,1390181400000,26
villalta,1390181700000,43
villalta,1390182000000,45
villalta,1390182300000,32
villalta,1390182600000,24
villalta,1390182900000,11
villalta,1390183200000,14
villalta,1390183500000,14
villalta,1390183800000,30
villalta,1390184100000,17
villalta,1390184400000,31
villalta,1390184700000,16
villalta,1390185000000,5
villalta,1390185300000,24
villalta,1390185600000,6
villalta,1390185900000,21
villalta,1390186200000,16
villalta,1390186500000,37
villalta,1390186800000,26
villalta,1390187100000,8
villalta,1390187400000,46
villalta,1390187700000,29
villalta,1390188000000,22
villalta,1390188300000,24
villalta,1390188600000,8
villalta,1390188900000,3
villalta,1390189200000,6
villalta,1390189500000,6
villalta,1390189800000,6
villalta,1390190100000,2
villalta,1390190400000,7
villalta,1390190700000,4
villalta,1390191000000,3
villalta,1390191300000,3
villalta,1390191600000,0
villalta,1390191900000,0
villalta,1390192200000,0
villalta,1390192500000,0
villalta,1390192800000,0
villalta,1390193100000,0
villalta,1390193400000,1
villalta,1390193700000,1
villalta,1390194000000,1
villalta,1390194300000,0
villalta,1390194600000,0
villalta,1390194900000,0
villalta,1390195200000,3
villalta,1390195500000,1
villalta,1390195800000,1
villalta,1390196100000,0
villalta,1390196400000,0
villalta,1390196700000,0
villalta,1390197000000,0
villalta,1390197300000,0
sihayporquienvotar,1390176000000,0
sihayporquienvotar,1390176300000,0
sihayporquienvotar,1390176600000,0
sihayporquienvotar,1390176900000,0
sihayporquienvotar,1390177200000,1
sihayporquienvotar,1390177500000,2
sihayporquienvotar,1390177800000,1
sihayporquienvotar,1390178100000,0
sihayporquienvotar,1390178400000,1
sihayporquienvotar,1390178700000,0
sihayporquienvotar,1390179000000,0
sihayporquienvotar,1390179300000,4
sihayporquienvotar,1390179600000,4
sihayporquienvotar,1390179900000,6
sihayporquienvotar,1390180200000,7
sihayporquienvotar,1390180500000,1
sihayporquienvotar,1390180800000,4
sihayporquienvotar,1390181100000,9
sihayporquienvotar,1390181400000,6
sihayporquienvotar,1390181700000,7
sihayporquienvotar,1390182000000,12
sihayporquienvotar,1390182300000,6
sihayporquienvotar,1390182600000,7
sihayporquienvotar,1390182900000,8
sihayporquienvotar,1390183200000,7
